customer_id,first_name,last_name,email,signup_date,state
1,Sky,Hannent,shannent0@geocities.com,2022-12-19,Texas
2,Dulcinea,Gorse,dgorse1@redcross.org,2022-09-10,Vermont
3,Cooper,Tremlett,ctremlett2@deliciousdays.com,2020-08-19,Iowa
4,Harriett,Bunning,hbunning3@walmart.com,2021-02-14,Georgia
5,Terencio,Rosoman,trosoman4@dagondesign.com,2020-06-12,New Mexico
6,Dodi,Colten,dcolten5@scribd.com,2021-03-11,Illinois
7,Danya,McArdle,dmcardle6@aol.com,2022-05-26,New Hampshire
8,Mariel,Talboy,mtalboy7@google.com,2021-09-08,West Virginia
9,Alys,Brackenridge,abrackenridge8@dmoz.org,2021-05-12,Missouri
10,Glynnis,Rivallant,grivallant9@cocolog-nifty.com,2020-08-20,Connecticut
11,Yard,Climie,yclimiea@salon.com,2024-03-26,South Carolina
12,Ethyl,Bushen,ebushenb@about.me,2021-12-30,Arkansas
13,Raynard,Loveredge,rloveredgec@imgur.com,2020-04-27,Colorado
14,Thorstein,Berkeley,tberkeleyd@aol.com,2022-04-26,Mississippi
15,Ashlee,Mellem,amelleme@clickbank.net,2023-08-16,Minnesota
16,Sallie,Schutte,sschuttef@jiathis.com,2023-11-30,Illinois
17,Gail,Dutteridge,gdutteridgeg@gnu.org,2023-11-16,Maine
18,Nelly,Guilayn,nguilaynh@goo.gl,2023-06-18,Texas
19,Etienne,Dorr,edorri@dion.ne.jp,2023-05-29,Louisiana
20,Arlene,Stanion,astanionj@businessweek.com,2022-11-03,Colorado
21,Piotr,O' Cuolahan,pocuolahank@google.co.uk,2024-04-03,Colorado
22,Cathrine,McDermid,cmcdermidl@photobucket.com,2021-01-28,Hawaii
23,Thurstan,Climer,tclimerm@topsy.com,2021-12-22,Mississippi
24,Nickolas,Hawkwood,nhawkwoodn@google.es,2020-11-19,Arizona
25,Joelynn,Curry,jcurryo@1688.com,2022-07-08,Illinois
26,Corrie,Sidery,csideryp@sitemeter.com,2021-12-11,West Virginia
27,Bendick,Gatcliff,bgatcliffq@amazon.co.uk,2024-01-24,Arizona
28,Sal,Woonton,swoontonr@howstuffworks.com,2023-04-10,Wyoming
29,Brian,Martinek,bmartineks@earthlink.net,2022-01-30,Kansas
30,Violetta,Mutimer,vmutimert@furl.net,2021-12-31,Arkansas
31,Merry,Fillis,mfillisu@histats.com,2024-03-13,New Hampshire
32,Garnet,Pine,gpinev@drupal.org,2020-05-20,Nevada
33,Gerti,Fairbanks,gfairbanksw@ihg.com,2023-10-31,Kansas
34,Brittaney,Ibbitt,bibbittx@examiner.com,2020-06-24,California
35,Holden,Caven,hcaveny@cargocollective.com,2023-09-01,Nebraska
36,Tanhya,Craighead,tcraigheadz@google.de,2023-04-21,Alabama
37,Edithe,Keane,ekeane10@blogs.com,2020-12-26,Massachusetts
38,Dulcinea,Kirkbright,dkirkbright11@mlb.com,2021-10-14,West Virginia
39,Pam,MacCall,pmaccall12@example.com,2024-04-14,New Hampshire
40,Therine,Berkelay,tberkelay13@whitehouse.gov,2023-06-07,Iowa
41,Reeba,McKinlay,rmckinlay14@histats.com,2023-08-03,Michigan
42,Basilio,Caddell,bcaddell15@blogger.com,2023-08-13,South Dakota
43,Edan,Strotton,estrotton16@skyrock.com,2020-07-26,Tennessee
44,Eddy,Sacco,esacco17@weather.com,2023-07-19,Louisiana
45,Twyla,Danat,tdanat18@dell.com,2022-05-15,Wisconsin
46,Bonnie,Joinson,bjoinson19@so-net.ne.jp,2023-09-23,Wisconsin
47,Skippy,Levison,slevison1a@deviantart.com,2020-09-18,Illinois
48,Irena,Childes,ichildes1b@yellowpages.com,2021-03-09,Alaska
49,Donny,Cornillot,dcornillot1c@gnu.org,2021-04-25,West Virginia
50,Lib,Troop,ltroop1d@mit.edu,2023-08-31,Nevada
51,Vivien,Ivell,vivell1e@arstechnica.com,2023-04-23,Maryland
52,Martguerita,Passy,mpassy1f@trellian.com,2023-10-20,Arizona
53,Charis,Tallant,ctallant1g@fda.gov,2022-12-27,California
54,Benjy,Disbrey,bdisbrey1h@ehow.com,2023-06-10,Texas
55,Justinn,Barbrick,jbarbrick1i@si.edu,2021-04-02,Idaho
56,Lira,Steenson,lsteenson1j@walmart.com,2023-01-10,Louisiana
57,Cindy,Wasylkiewicz,cwasylkiewicz1k@mtv.com,2021-08-27,Hawaii
58,Gnni,Linacre,glinacre1l@bbb.org,2022-06-09,Oregon
59,Pascal,Sailes,psailes1m@altervista.org,2020-04-22,Georgia
60,Danny,Waslin,dwaslin1n@mysql.com,2020-12-24,Indiana
61,Malena,Maplesden,mmaplesden1o@jugem.jp,2020-11-30,Nevada
62,Bertina,Janecki,bjanecki1p@wufoo.com,2020-12-18,New Mexico
63,Fey,Bazoge,fbazoge1q@topsy.com,2020-10-30,Wyoming
64,Allx,Wickson,awickson1r@gizmodo.com,2024-04-03,Michigan
65,Pepi,Dockree,pdockree1s@about.me,2023-02-16,Mississippi
66,Antonina,Ellerey,aellerey1t@bing.com,2024-03-29,Arkansas
67,Renata,Stoyle,rstoyle1u@over-blog.com,2023-10-05,Hawaii
68,Morie,Stembridge,mstembridge1v@bbc.co.uk,2022-09-25,Wyoming
69,Lauritz,Jablonski,ljablonski1w@wired.com,2021-01-27,Idaho
70,Gisela,Schoenleiter,gschoenleiter1x@oracle.com,2020-10-17,South Dakota
71,Ignacio,Behrend,ibehrend1y@icio.us,2020-10-21,Tennessee
72,Umberto,Glossup,uglossup1z@abc.net.au,2021-03-04,Georgia
73,Natka,Matelyunas,nmatelyunas20@foxnews.com,2024-03-23,South Dakota
74,Annmarie,Correa,acorrea21@odnoklassniki.ru,2023-11-30,Nebraska
75,Jarrod,Marquez,jmarquez22@behance.net,2022-01-24,New York
76,Bord,Lenham,blenham23@printfriendly.com,2020-10-24,Michigan
77,Esmeralda,Glacken,eglacken24@etsy.com,2020-07-27,Indiana
78,Justino,Woodruff,jwoodruff25@latimes.com,2020-05-07,Florida
79,Carlo,Theze,ctheze26@amazon.com,2022-02-03,Delaware
80,Neile,Dablin,ndablin27@spotify.com,2021-08-18,Massachusetts
81,Stewart,L' Estrange,slestrange28@liveinternet.ru,2020-04-29,Tennessee
82,Sergent,Wylder,swylder29@taobao.com,2021-02-03,Louisiana
83,Roarke,Baudino,rbaudino2a@ftc.gov,2023-04-28,Michigan
84,Vivianne,M'Chirrie,vmchirrie2b@phoca.cz,2023-10-25,Kentucky
85,Torrin,Ivons,tivons2c@posterous.com,2023-01-26,California
86,Hayward,McCritichie,hmccritichie2d@yelp.com,2023-09-15,Idaho
87,Emiline,Merriday,emerriday2e@go.com,2023-08-01,Mississippi
88,Eadmund,Hearty,ehearty2f@slashdot.org,2021-03-07,Montana
89,Avrom,Nevill,anevill2g@people.com.cn,2022-01-26,Ohio
90,Dominic,Antyshev,dantyshev2h@networkadvertising.org,2022-07-12,Texas
91,Bertrando,Valek,bvalek2i@discuz.net,2022-04-06,North Dakota
92,Nissie,Cubbinelli,ncubbinelli2j@nsw.gov.au,2023-03-29,Idaho
